country,riesgo_encoded,riesgo_categoria,SuicideRate_BothSexes_RatePer100k_2021_norm,SuicideRate_Male_RatePer100k_2021_norm,SuicideRate_Female_RatePer100k_2021_norm,gender_ratio_2021_norm,avg_rate_3y_norm,tendencia_absoluta_norm,tendencia_porcentual_norm
Namibia,2,Alto,0.18337865397688646,0.2197481930519935,0.11374570446735395,0.4158044315470239,0.16632700198364175,0.9284232365145227,0.12951091716405227
Armenia,0,Bajo,0.08072739632902788,0.08953135929121007,0.07353951890034365,0.22873550104398177,0.06578625580826608,0.9346473029045642,0.19330281112032316
Lithuania,2,Alto,0.46108089734874236,0.5686640242480765,0.30137457044673543,0.4118814938004059,0.43343930871443714,0.9273858921161825,0.1132074692246401
Jamaica,0,Bajo,0.011046906866077498,0.014688738633714152,0.004810996563573885,0.41550959154816886,0.01562457541914622,0.8793222683264177,0.05066489959117659
Albania,0,Bajo,0.05642420122365737,0.047796689204942885,0.08969072164948455,0.051483259250493685,0.05486263960218472,0.8926348547717842,0.09790447971398032
Gambia,0,Bajo,0.08157715839564922,0.08078806248542784,0.09690721649484536,0.12806650141442938,0.07410124724871606,0.9095781466113415,0.12551102924659688
Gabon,1,Medio,0.1510876954452753,0.18116110981580788,0.09690721649484536,0.39731519161882517,0.13893644194451238,0.9180497925311203,0.12401725144885213
Botswana,1,Medio,0.15193745751189666,0.16961995803217536,0.12164948453608247,0.2741245343628506,0.18072878454389826,0.7857883817427385,0.051707467619350835
Lesotho,2,Alto,0.3363358259687288,0.3657029610631849,0.3082474226804124,0.21704490047422925,0.6054998505475395,0.0,0.00949283907508762
Guinea-Bissau,1,Medio,0.13103331067301155,0.13476334809979018,0.14226804123711342,0.15441073242698872,0.1181761365180294,0.9218533886583679,0.13216227144076553
Slovenia,2,Alto,0.2777022433718559,0.31277687106551644,0.20859106529209626,0.3034747891261036,0.28078041357571815,0.8497579529737206,0.08617011573119214
Equatorial Guinea,1,Medio,0.10384092454112849,0.10620191186756821,0.08762886597938145,0.22672354028130326,0.10502431999130461,0.8786307053941907,0.08716144401269063
Latvia,2,Alto,0.31679129843643783,0.3904173467008627,0.20927835051546392,0.40382203863581007,0.3039863047199805,0.8843360995850622,0.09957937523845796
North Macedonia,1,Medio,0.12117607070020396,0.1154115178363255,0.14914089347079038,0.10743801231350394,0.12469769843210783,0.8703319502074688,0.08311149303222315
Bahrain,0,Bajo,0.05948334466349422,0.05642340871998135,0.03539518900343643,0.3160748019343153,0.08241623868916607,0.8162171507607192,0.03548419500558035
Trinidad and Tobago,2,Alto,0.22161794697484705,0.25681977150851015,0.14089347079037803,0.38912202590064265,0.18545691693160513,0.9846127247579529,0.18177846698197242
Timor-Leste,0,Bajo,0.05608429639700884,0.05176031709023084,0.0752577319587629,0.09466614544473922,0.05160185864514552,0.9026625172890732,0.11761291818796647
